State,Action,Q_Value
"(False, False, False, False, False, False, False, False, False, False, False, True)",WEST,254.33006753815124
"(False, False, False, False, False, False, False, False, False, True, False, True)",EAST,299.3918282773771
"(False, False, True, False, False, False, False, False, False, True, False, True)",NORTH,524.6484107869176
"(False, False, True, False, False, False, False, False, False, True, False, True)",WEST,161.62937882832054
"(False, False, False, False, False, False, False, False, False, True, False, False)",WEST,395.96386564308125
"(False, False, False, False, False, False, False, False, False, True, False, False)",NORTH,408.76711423601677
"(False, False, False, False, False, False, False, False, False, False, True, True)",SOUTH,132.9238799799724
"(False, False, False, False, False, False, False, False, False, True, False, False)",SOUTH,459.17994681359056
"(False, False, False, False, False, False, False, False, False, False, True, False)",NORTH,284.79395568306717
"(False, False, False, False, False, False, False, False, True, False, False, True)",NORTH,464.31922572128633
"(False, False, False, False, False, False, False, False, False, False, False, True)",NORTH,343.00975073806535
"(False, False, False, False, False, False, False, False, False, False, False, True)",SOUTH,291.0103434882488
"(False, False, False, False, False, False, False, False, False, True, False, True)",NORTH,377.08942741807016
"(False, False, False, False, False, False, False, False, False, False, False, True)",EAST,488.7348076747583
"(False, False, False, False, False, False, False, False, True, False, False, False)",NORTH,417.6900886531732
"(False, False, False, False, False, False, False, False, False, False, True, True)",NORTH,90.11900622729472
"(False, False, False, False, False, False, False, False, True, False, False, False)",SOUTH,421.70192525683086
"(True, False, False, False, False, False, False, False, True, False, True, False)",NORTH,0.0
"(False, False, True, False, False, False, False, False, False, True, True, False)",NORTH,-7.264210239721336
"(False, False, False, False, False, False, False, False, True, True, True, False)",NORTH,197.78789875315417
"(False, False, True, False, False, False, False, False, True, False, False, False)",NORTH,530.63359873497
"(False, False, False, False, False, False, False, False, True, False, False, False)",EAST,496.01524025289433
"(False, False, False, False, False, False, False, False, True, False, False, False)",WEST,340.6841130444193
"(False, False, False, False, False, False, True, False, False, True, False, True)",NORTH,135.1423356181437
"(False, False, False, False, False, False, True, False, False, True, False, True)",SOUTH,119.2998689853125
"(False, False, False, False, False, False, False, False, False, True, True, False)",NORTH,327.05522825665
"(False, False, False, False, False, False, False, False, False, True, True, False)",SOUTH,424.74866109483605
"(False, False, False, False, False, False, False, False, False, False, True, False)",SOUTH,344.780909401422
"(False, False, False, False, False, False, False, False, False, False, True, False)",EAST,332.3987219995174
"(False, False, False, False, False, False, False, False, False, False, True, False)",WEST,457.80554819050246
"(False, False, False, False, False, False, False, False, False, True, True, False)",EAST,324.9598632466144
"(False, False, False, False, False, False, False, False, True, False, True, False)",NORTH,318.5637832722514
"(False, False, False, False, False, False, False, False, False, True, False, True)",SOUTH,309.23246547832116
"(False, False, False, False, False, False, False, False, True, False, False, True)",SOUTH,267.119453509889
"(False, False, False, False, False, False, False, False, False, True, False, False)",EAST,311.9627907035342
"(False, False, False, False, False, False, False, False, True, False, False, True)",EAST,398.5493643537047
"(False, False, False, False, False, False, False, False, False, True, False, True)",WEST,464.6794449444584
"(False, False, False, False, False, False, False, False, False, False, True, True)",EAST,258.6018143506991
"(False, False, False, False, False, False, False, False, True, False, True, False)",SOUTH,301.391210701146
"(False, False, False, False, False, False, False, False, True, False, True, False)",EAST,454.4478661023623
"(False, False, False, False, False, False, False, False, True, False, True, False)",WEST,325.3728354835741
"(False, False, False, False, False, False, False, False, False, True, True, False)",WEST,385.167534157123
"(False, False, False, False, False, False, False, False, True, True, False, False)",NORTH,244.5216843591021
"(False, False, False, False, False, False, False, False, True, False, False, True)",WEST,248.65809433447612
"(False, False, True, False, False, False, False, False, True, True, True, True)",NORTH,-30.0
"(False, False, True, False, False, False, False, False, True, False, True, False)",NORTH,12.173197621662627
"(False, False, False, False, False, False, False, False, False, True, True, True)",NORTH,192.56951690449856
"(False, False, False, False, False, False, False, False, False, True, True, True)",SOUTH,187.31919100736877
"(False, False, False, False, False, False, False, False, True, True, False, False)",SOUTH,308.1452725087215
"(False, False, False, False, False, False, False, False, True, True, True, True)",NORTH,-1029.0
"(True, False, False, False, False, False, False, False, False, True, True, False)",NORTH,288.2038001373277
"(False, False, False, False, False, False, False, False, False, False, True, True)",WEST,454.1071710036576
"(False, False, False, False, False, False, True, False, False, True, False, True)",EAST,91.55047400311514
"(False, False, False, False, False, False, True, False, True, True, False, True)",NORTH,404.75781536510465
"(False, False, False, False, False, False, False, False, True, False, True, True)",NORTH,138.34917215421007
"(False, False, False, False, False, False, False, False, True, True, False, False)",EAST,288.99246321984214
"(True, False, False, False, False, False, False, False, False, False, True, False)",NORTH,0.0
"(False, False, False, False, False, False, False, False, True, True, False, False)",WEST,264.8943877379203
"(False, False, True, False, False, False, False, False, False, True, False, False)",NORTH,516.4455023191242
"(False, False, True, False, False, False, False, False, False, True, False, True)",SOUTH,145.9052609069464
"(False, False, False, False, False, False, False, False, False, True, True, True)",EAST,182.03111232725337
"(False, False, False, False, False, False, False, False, True, True, True, False)",SOUTH,450.8164897244766
"(False, False, False, False, False, False, False, False, True, True, True, False)",EAST,189.01768978935587
"(False, False, False, False, True, False, False, False, False, False, True, False)",NORTH,31.54816100540665
"(False, False, False, False, False, False, False, False, True, True, False, True)",NORTH,446.38081315496606
"(False, False, False, False, False, False, False, False, False, True, True, True)",WEST,326.40311117371965
"(False, False, False, False, False, False, False, False, True, True, True, False)",WEST,209.0504989735613
"(True, False, False, False, False, False, False, False, False, False, True, False)",SOUTH,52.8913455246706
"(False, False, True, False, False, False, True, False, False, True, False, True)",NORTH,459.2211425649547
"(False, False, False, False, False, False, True, False, False, False, False, True)",NORTH,17.809654642810003
"(False, False, False, False, False, False, True, False, False, False, False, True)",SOUTH,29.573210858426645
"(False, False, False, False, False, False, True, False, False, True, False, False)",NORTH,58.4895890338837
"(False, False, False, False, False, False, True, False, False, True, False, True)",WEST,451.7781824692614
"(False, False, False, False, False, False, False, False, True, False, True, True)",SOUTH,168.8686345143447
"(True, False, False, False, False, False, False, False, False, False, True, True)",NORTH,36.034359082433305
"(False, False, False, False, False, False, False, False, True, True, False, True)",SOUTH,155.0275584268953
"(False, False, False, False, True, False, False, False, False, False, False, True)",NORTH,438.2016818159386
"(False, False, True, False, False, False, False, False, False, True, False, False)",SOUTH,139.40373275400688
"(False, False, True, False, True, False, False, False, False, True, True, False)",NORTH,0.0
"(False, False, False, False, False, False, False, False, True, False, True, True)",EAST,458.38759948711765
"(False, False, False, False, False, False, False, False, True, True, False, True)",EAST,129.9429092771873
"(False, False, True, False, False, False, False, False, False, True, False, False)",EAST,95.05191990769416
"(False, False, False, False, False, False, False, False, True, True, True, True)",SOUTH,-1030.0
"(False, False, False, False, True, False, False, False, False, False, True, False)",SOUTH,450.74691844926724
"(False, False, True, False, False, False, True, False, False, True, False, False)",NORTH,9.5
"(False, False, True, False, False, False, False, False, False, False, False, True)",NORTH,525.1270277836968
"(False, False, True, False, False, False, False, False, False, False, False, True)",SOUTH,354.63677245328876
"(False, False, False, False, False, False, False, False, True, True, False, True)",WEST,116.96578142405698
"(False, False, False, False, False, False, False, False, True, False, True, True)",WEST,140.08649910009584
"(False, False, False, False, True, False, False, False, False, False, True, False)",EAST,34.364301771948924
"(False, False, False, False, True, False, False, False, True, False, True, False)",NORTH,0.6555616080782386
"(False, False, True, False, False, False, False, False, False, False, False, True)",EAST,422.2745321557896
"(False, False, False, False, False, False, True, False, True, True, False, False)",NORTH,394.05529738819314
"(True, False, False, False, False, False, True, False, False, True, False, True)",NORTH,9.981350621954876
"(True, False, False, False, False, False, False, False, False, True, True, False)",SOUTH,314.59895621469263
"(True, False, False, False, False, False, False, False, False, False, True, True)",SOUTH,32.392392284803044
"(False, False, True, False, False, False, False, False, False, False, False, True)",WEST,397.15951278253834
"(False, False, False, False, False, False, True, False, True, True, False, False)",SOUTH,106.87312730507671
"(False, False, False, False, False, False, True, False, False, True, True, False)",NORTH,0.0
"(True, False, True, False, False, False, False, False, False, False, False, True)",NORTH,106.35083398472307
