Total_Size
4
5
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
5
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
3
4
4
3
4
4
5
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
5
5
4
4
4
4
4
4
4
4
5
4
4
4
4
3
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
5
4
4
4
4
4
4
4
4
4
5
4
4
4
4
4
4
4
4
4
5
4
4
4
3
5
4
4
4
4
4
4
4
5
4
5
5
4
4
4
4
4
4
4
4
4
4
4
4
5
4
4
4
4
4
4
3
4
3
4
5
4
4
2
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
5
5
4
4
4
4
4
5
4
3
4
4
4
4
5
5
4
4
5
4
4
5
4
4
4
4
4
4
4
4
4
4
5
5
4
4
4
4
4
4
4
4
4
4
4
4
6
4
3
4
4
4
4
5
4
4
4
4
4
4
4
4
4
4
4
4
4
4
5
6
4
4
2
5
4
3
4
4
5
4
4
4
4
4
3
4
5
5
4
4
4
4
4
3
3
3
4
8
4
4
6
5
4
5
4
4
4
4
4
4
6
4
4
4
4
5
4
4
5
4
4
5
4
4
3
4
5
4
5
4
5
4
5
5
4
4
4
4
4
4
4
5
3
4
4
6
4
4
5
4
5
4
4
5
4
4
4
4
4
4
4
4
4
5
4
4
4
6
4
7
4
5
4
4
5
4
4
4
6
4
5
6
4
4
4
5
5
7
4
6
5
4
4
4
4
4
4
4
7
5
6
4
9
4
4
4
9
4
5
4
5
5
5
6
5
4
11
7
5
4
7
7
7
10
4
9
6
4
7
4
4
4
4
6
4
6
4
6
7
4
5
6
13
6
4
4
7
4
4
4
4
5
5
5
4
4
9
8
8
3
6
4
8
5
4
5
6
3
3
4
6
5
6
4
5
4
4
5
5
7
6
16
5
4
4
5
6
6
4
6
5
15
6
6
4
6
4
7
7
6
5
7
4
4
4
4
4
4
4
5
4
8
6
6
4
4
8
4
6
8
4
8
7
4
3
9
8
5
4
4
6
9
7
9
4
6
5
5
5
5
7
6
11
8
6
4
5
4
6
4
5
14
5
4
12
7
4
5
6
6
6
4
6
4
6
4
6
15
9
12
5
6
6
4
8
4
6
11
4
8
8
7
4
4
7
5
4
4
5
7
4
7
4
5
9
8
7
6
7
7
4
6
10
4
4
14
10
4
4
6
10
4
9
4
5
6
10
7
6
5
9
5
9
4
4
12
7
4
4
13
12
12
4
4
5
13
9
11
7
7
8
4
7
5
10
4
4
4
4
10
5
4
8
14
4
6
8
6
6
3
11
13
6
8
5
6
4
7
4
14
6
10
15
4
15
7
10
13
4
15
5
6
6
4
6
22
6
12
12
6
8
5
6
4
6
4
4
10
4
12
5
5
8
4
6
15
5
9
6
6
4
4
6
6
13
5
13
4
4
5
14
6
18
21
12
6
7
11
6
5
10
19
19
9
21
11
4
9
8
8
4
24
7
6
10
7
8
21
15
6
9
4
9
6
18
11
4
14
4
8
8
17
14
4
11
13
19
4
7
6
13
8
6
7
16
23
15
12
8
25
6
23
7
10
4
15
3
13
27
7
18
4
7
4
4
4
16
5
15
5
15
9
6
4
17
8
7
29
9
4
4
4
13
10
5
8
11
21
4
10
4
5
14
4
5
6
7
8
9
7
4
6
18
7
9
5
11
26
24
15
14
5
10
10
27
9
9
7
19
5
8
23
5
13
6
8
16
11
6
15
17
4
11
5
23
4
18
15
19
15
15
19
26
21
22
6
8
25
4
21
7
10
24
5
24
10
9
8
7
6
6
4
11
10
18
9
8
10
15
7
6
19
9
10
23
10
4
9
9
4
25
27
14
27
8
10
19
5
11
4
13
17
6
8
10
5
6
13
14
7
6
5
5
8
4
7
13
4
5
10
5
26
4
25
15
23
16
11
6
16
9
5
22
9
8
8
6
6
9
11
12
9
19
17
9
6
18
8
14
7
22
11
9
10
16
23
14
4
4
4
12
7
15
15
12
11
4
11
6
18
20
9
5
6
13
9
11
11
12
8
15
23
8
8
23
9
7
9
21
9
8
4
17
14
11
5
17
12
20
13
4
10
6
12
23
13
16
5
24
24
4
4
4
23
10
16
7
6
11
4
12
4
20
4
11
10
18
9
13
26
11
8
4
7
6
10
13
9
26
8
22
5
4
19
10
8
15
16
5
20
18
30
5
7
17
12
18
7
8
9
6
14
4
8
11
4
5
13
4
16
7
17
25
7
13
10
14
22
4
11
4
12
6
5
17
23
8
23
12
5
15
16
13
14
11
7
4
15
15
10
5
16
13
12
12
12
25
14
10
4
28
19
13
22
12
17
5
21
21
7
9
6
23
8
4
9
5
5
17
11
21
14
8
7
25
3
4
4
5
19
15
4
14
8
11
6
12
15
32
13
9
10
4
17
14
4
10
4
4
15
12
18
4
12
6
4
13
7
5
4
30
4
30
15
7
9
22
20
4
11
4
36
17
9
10
12
14
16
7
4
6
10
13
17
11
11
4
12
4
4
15
5
6
18
7
6
14
19
4
15
6
7
4
15
12
4
4
4
18
8
5
9
12
6
12
10
18
23
11
12
6
12
12
13
11
4
22
11
8
4
6
8
12
13
21
33
8
12
25
15
10
11
4
21
10
4
6
8
18
